id_answer,question_id,option_question_id,place_id,open_answer
1,1,1,1,willian
2,3,2,1,1
3,4,3,1,1
4,5,4,1,1
5,6,5,1,
6,8,9,1,
7,9,11,1,
8,10,13,1,
9,11,15,1,
10,12,17,1,
11,13,19,1,
12,14,21,1,
13,15,23,1,
14,16,25,1,
15,17,27,1,
16,18,29,1,
17,19,31,1,
18,20,33,1,
19,21,35,1,
20,21,36,1,
21,21,37,1,
22,21,38,1,
23,21,39,1,
24,22,40,1,
25,22,41,1,
26,23,42,1,
27,23,43,1,
28,24,44,1,
29,24,45,1,
30,25,46,1,
31,25,47,1,
32,25,48,1,
33,25,49,1,
34,25,50,1,
35,25,51,1,
36,25,52,1,
37,25,53,1,
38,26,54,1,
39,26,55,1,
40,26,56,1,
41,26,57,1,
42,26,58,1,
43,26,59,1,
44,26,60,1,
45,26,61,1,
46,26,62,1,
47,26,63,1,
48,27,64,1,
49,27,65,1,
50,27,66,1,
51,27,67,1,
52,27,68,1,
53,27,69,1,
54,27,70,1,
55,27,71,1,
56,27,72,1,
57,27,73,1,
58,27,74,1,
59,27,75,1,
60,27,76,1,
61,27,77,1,
62,28,78,1,
63,28,79,1,
64,28,80,1,
65,28,81,1,
66,28,82,1,
67,28,83,1,
68,28,84,1,
69,28,85,1,
70,28,86,1,
71,28,87,1,
72,29,88,1,
73,29,89,1,
74,29,90,1,
75,29,91,1,
76,29,92,1,
77,29,93,1,
78,29,94,1,
79,30,95,1,
80,31,101,1,30
81,32,102,1,
82,32,103,1,
83,32,104,1,
84,32,105,1,
85,32,106,1,
86,32,107,1,
87,32,108,1,
88,32,109,1,
89,32,110,1,
90,33,111,1,
91,34,113,1,observación 1
